"id","plaatsnaam_in_bron","plaatsnaam","eerste_jaar_min","eerste_jaar_max","laatste_jaar_min","laatste_jaar_max","aantal","tgn_uri","gn_uri","land","lat","lon"
"2092","Litoeyen","Lithoijen","1486","1487","1486","1487","1","http://vocab.getty.edu/tgn/7264712","http://www.geonames.org/2751541","Netherlands","51.8025","5.463889"
"2093","Litoyen","Lithoijen","1493","1494","1493","1494","1","http://vocab.getty.edu/tgn/7264712","http://www.geonames.org/2751541","Netherlands","51.8025","5.463889"
"2094","Litt","Lith","1434","1435","1486","1487","2","http://vocab.getty.edu/tgn/7264714","http://www.geonames.org/2751543","Netherlands","51.805833","5.438889"
"2095","Littoeyen","Lithoijen","1486","1487","1532","1533","5","http://vocab.getty.edu/tgn/7264712","http://www.geonames.org/2751541","Netherlands","51.8025","5.463889"
"2096","Littoyen","Lithoijen","1479","1480","1538","1539","16","http://vocab.getty.edu/tgn/7264712","http://www.geonames.org/2751541","Netherlands","51.8025","5.463889"
"2097","Lobeyt","Lobith","1478","1479","1478","1479","2","http://vocab.getty.edu/tgn/7029961","http://www.geonames.org/2751538","Netherlands","51.8625","6.118056"
"2098","Loemel","Lommel","1447","1448","1521","1522","12",,"http://www.geonames.org/2792179","Belgium","51.23074","5.31349"
"2099","Loen","Loon of Loon op Zand","1431","1432","1542","1543","17",,,,"0","0"
"2100","Loen","Loon op Zand","1432","1433","1534","1535","8","http://vocab.getty.edu/tgn/1047922","http://www.geonames.org/2751456","Netherlands","51.6275","5.075"
"2101","Loen by Ravestaing","Neerloon","1493","1494","1493","1494","1","http://vocab.getty.edu/tgn/7270241","http://www.geonames.org/2750441","Netherlands","51.788333","5.676389"
"2102","Loen op Sant","Loon op Zand","1531","1532","1531","1532","1","http://vocab.getty.edu/tgn/1047922","http://www.geonames.org/2751456","Netherlands","51.6275","5.075"
"2103","Loen opt Sant","Loon op Zand","1531","1532","1531","1532","1","http://vocab.getty.edu/tgn/1047922","http://www.geonames.org/2751456","Netherlands","51.6275","5.075"
"2104","Loen opten Maezen","Neerloon","1481","1482","1481","1482","1","http://vocab.getty.edu/tgn/7270241","http://www.geonames.org/2750441","Netherlands","51.788333","5.676389"
"2105","Loenen","Loenen","1470","1471","1514","1515","12",,,,"0","0"
"2106","Loennen","Londen","1510","1511","1510","1511","1",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"2107","Loesdunen","Loosduinen","1483","1484","1486","1487","4",,"http://www.geonames.org/2751442","Netherlands","52.05073","4.23469"
"2108","Loesduynen","Loosduinen","1479","1480","1479","1480","1",,"http://www.geonames.org/2751442","Netherlands","52.05073","4.23469"
"2109","Loet","Leuth","1475","1476","1493","1494","3","http://vocab.getty.edu/tgn/7264165","http://www.geonames.org/2751682","Netherlands","51.839167","5.991667"
"2110","Loeven","Leuven ","1447","1448","1572","1573","27","http://vocab.getty.edu/tgn/7264162","http://www.geonames.org/2751679","Netherlands","51.844167","5.094444"
"4055","tot Veen","Veen","1495","1496","1495","1496","1","http://vocab.getty.edu/tgn/7273061","http://www.geonames.org/2745784","Netherlands","51.7775","5.108333"
"4054","in Kuick","Nieuwkuijk","1495","1496","1495","1496","1","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2113","Loevene","Leuven","1445","1446","1445","1446","2","http://vocab.getty.edu/tgn/7264162","http://www.geonames.org/2751679","Netherlands","51.844167","5.094444"
"2114","Loevesteyn","Loevestein","1463","1464","1463","1464","1",,,,"0","0"
"2115","Lombardyen","Lombardije","1490","1491","1490","1491","1",,,,"0","0"
"2116","Lommel","Lommel","1445","1446","1445","1446","1",,"http://www.geonames.org/2792179","Belgium","51.23074","5.31349"
"2117","Lomy",,"1524","1525","1524","1525","1",,,,"0","0"
"2118","Londen","Londen","1511","1512","1511","1512","1",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"2119","Londen in Engeland","Londen","1519","1520","1519","1520","1",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"2120","Londen in Engelant","Londen","1510","1511","1517","1518","3",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"2121","Lonne","Londen","1506","1507","1506","1507","1",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"2122","Lonnen","Londen","1500","1501","1508","1509","2",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"2123","Lonnen in Engelant","Londen","1484","1485","1515","1516","2",,"http://www.geonames.org/2643743","United Kingdom","51.50853","-0.12574"
"4053","IJsselsteyn","IJsselstein","1561","1562","1561","1562","1","http://vocab.getty.edu/tgn/7006913","http://www.geonames.org/2753355","Netherlands","52.02","5.043056"
"2125","Loon","Loon of Loon op Zand","1525","1526","1525","1526","2",,,,"0","0"
"2126","Looven","Leuven","1506","1507","1506","1507","1","http://vocab.getty.edu/tgn/7264162","http://www.geonames.org/2751679","Netherlands","51.844167","5.094444"
"2127","Lopick","Lopik","1522","1523","1522","1523","2","http://vocab.getty.edu/tgn/1047923","http://www.geonames.org/2751436","Netherlands","51.9725","4.948611"
