"id","plaats_in_bron","plaats","start","eind","aantal","geonames","kloekeCode"
581,"Monnikendam","Monnickendam",1703,1793,99,"http://sws.geonames.org/2750641","E091p"
588,"Hattum","Hattem",1661,1792,97,"http://sws.geonames.org/2754768","F103p"
592,"Wassenaar","Wassenaar",1649,1793,95,"http://sws.geonames.org/2744991","E165p"
593,"Moort","Moordrecht",1682,1790,95,"http://sws.geonames.org/2750613","K013p"
598,"Alckmaer","Alkmaar",1633,1742,94,"http://sws.geonames.org/2759899","E045p"
599,"Assendelft","Assendelft",1647,1794,94,"http://sws.geonames.org/2759631","E082p"
600,"Amstelveen","Amstelveen",1682,1792,94,"http://sws.geonames.org/2759798","E118p"
601,"Leijdsendam","Leidschendam",1700,1793,94,"http://sws.geonames.org/2751769","E195a"
613,"Lis","Lisse",1635,1791,92,"http://sws.geonames.org/2751547","E115p"
614,"Roermond","Roermond",1682,1790,92,"http://sws.geonames.org/2748000","L329p"
635,"Aalsmeer","Aalsmeer",1686,1790,88,"http://sws.geonames.org/2760134","E117p"
638,"Aalburg","Aalburg",1703,1793,87,"http://sws.geonames.org/2760144","K110a"
640,"Soetermeer","Zoetermeer",1682,1793,87,"http://sws.geonames.org/2743856","E200p"
641,"Zurigh","Zurich",1681,1784,87,"http://sws.geonames.org/2743611","B079p"
643,"Tilburg","Tilburg",1694,1792,86,"http://sws.geonames.org/2746301","K183p"
646,"Cralingen","Kralingen",1703,1790,86,"http://sws.geonames.org/2752315",""
649,"Oud beijerland","Oud-Beijerland",1704,1792,85,"http://sws.geonames.org/2749182","K083p"
651,"Blijswijk","Bleiswijk",1690,1791,85,"http://sws.geonames.org/2758838","E204p"
658,"Roosendaal","Roosendaal",1698,1793,84,"http://sws.geonames.org/2747930","K174p"
661,"Benthem","Benthem",1684,1791,83,"http://sws.geonames.org/2759179",""
666,"Hinloopen","Hindeloopen",1683,1794,83,"http://sws.geonames.org/2754059","F002p"
667,"Leuwaerden","Leeuwarden",1685,1793,83,"http://sws.geonames.org/2751792","B056p"
669,"Terneus","Terneuzen",1640,1790,82,"http://sws.geonames.org/2746420","I112p"
672,"Briel","Brielle",1649,1793,82,"http://sws.geonames.org/2758326","I009p"
673,"Hal","Hal",1643,1769,82,"http://sws.geonames.org/2754949",""
675,"Denemarken","Denemarken",1711,1793,82,"http://sws.geonames.org/2757229",""
678,"Maarssen","Maarssen",1680,1788,81,"http://sws.geonames.org/2751316","E189p"
679,"Amsterveen","Amstelveen",1661,1786,81,"http://sws.geonames.org/2759798","E118p"
680,"Appingendam","Appingedam",1691,1786,81,"http://sws.geonames.org/2759687","C079p"
682,"Delfshave","Delfshaven",1684,1786,81,"http://sws.geonames.org/2757347","K042p"
695,"Nijmwegen","Nijmegen",1691,1793,79,"http://sws.geonames.org/2750053","L071p"
697,"Zoest","Soest",1649,1789,79,"http://sws.geonames.org/2747034","E164p"
698,"Meppen","Meppen",1668,1791,79,"http://sws.geonames.org/2750944","G052a"
