"id","geb_plaats_bron","geb_plaats_huidig","eerste_jaar","laatste_jaar","lat","lon","adm1","aantal","gn_uri","tgn_uri"
"925","graafschap zutphen","Graafschap Zutphen","1652","1652","51.9833333","6.4333333","GE","1",,
"926","gracht, vanden","Graft","1588","1588","52.5666667","4.8333333","NH","1",,"http://vocab.getty.edu/tgn/7260318"
"927","graeff","Graaf","1586","1586","51.9833333","4.9833333","UT","1",,"http://vocab.getty.edu/tgn/7260330"
"928","graemsberge","Gramsbergen","1549","1549","52.6166667","6.6833333","OV","1",,"http://vocab.getty.edu/tgn/7260314"
"929","graff","Graft","1600","1600","52.5666667","4.8333333","NH","1",,"http://vocab.getty.edu/tgn/7260318"
"930","graffhorst","Grafhorst","1598","1598","52.5833333","5.9333333","OV","1",,"http://vocab.getty.edu/tgn/7260319"
"931","graft","Graft","1543","1593","52.5666667","4.8333333","NH","10",,"http://vocab.getty.edu/tgn/7260318"
"932","graft of graftdijk","Graft","1543","1543","52.5666667","4.8333333","NH","1",,"http://vocab.getty.edu/tgn/7260318"
"933","graftdijk","Graftdijk","1543","1545","52.55","4.8166667","NH","2",,"http://vocab.getty.edu/tgn/7273296"
"934","Grambrech","Gramsbergen","1595","1595","52.6166667","6.6833333","OV","1",,"http://vocab.getty.edu/tgn/7260314"
"935","gramsberch","Gramsbergen","1544","1544","52.6166667","6.6833333","OV","1",,"http://vocab.getty.edu/tgn/7260314"
"936","gramsberge","Gramsbergen","1541","1545","52.6166667","6.6833333","OV","2",,"http://vocab.getty.edu/tgn/7260314"
"937","Gramsberghen","Gramsbergen","1648","1648","52.6166667","6.6833333","OV","1",,"http://vocab.getty.edu/tgn/7260314"
"938","grathem","Grathem","1541","1547","51.2","5.8666667","LI","2",,"http://vocab.getty.edu/tgn/7260306"
"939","grauw","Grouw","1639","1639","53.1","5.8333333","FR","1",,"http://vocab.getty.edu/tgn/1047807"
"940","Greuninghen","Groningen","1648","1648","53.2166667","6.55","GR","2",,"http://vocab.getty.edu/tgn/7006984"
"941","greuw","Grouw","1592","1592","53.1","5.8333333","FR","1",,"http://vocab.getty.edu/tgn/1047807"
"942","grijpkercke","Grijpskerk","1650","1650","53.2666667","6.3","GR","1",,"http://vocab.getty.edu/tgn/1047801"
"943","Grijpskerck","Grijpskerk","1592","1592","53.2666667","6.3","GR","1",,"http://vocab.getty.edu/tgn/1047801"
"944","groendijck ter zijel onder d'oude","Offingawier","1645","1645","53.0333333","5.7","FR","1",,"http://vocab.getty.edu/tgn/7270450"
"945","groendijcxsterzijl","Offingawier","1651","1651","53.0333333","5.7","FR","1",,"http://vocab.getty.edu/tgn/7270450"
"946","groendijcxtersijl","Offingawier","1645","1645","53.0333333","5.7","FR","1",,"http://vocab.getty.edu/tgn/7270450"
"947","groendijk","Offingawier","1590","1590","53.0333333","5.7","FR","1",,"http://vocab.getty.edu/tgn/7270450"
"948","groendycksterzyl","Offingawier","1596","1596","53.0333333","5.7","FR","1",,"http://vocab.getty.edu/tgn/7270450"
"949","groenege","Groningen","1541","1541","53.2166667","6.55","GR","1",,"http://vocab.getty.edu/tgn/7006984"
"950","groeninge in vrieslant","Groningen","1504","1504","53.2166667","6.55","GR","1",,"http://vocab.getty.edu/tgn/7006984"
"951","groeningen","Groningen","1541","1655","53.2166667","6.55","GR","12",,"http://vocab.getty.edu/tgn/7006984"
"952","groeningen, land van cuyck","Groeningen","1639","1639","51.6","6","NB","1",,"http://vocab.getty.edu/tgn/7260785"
"953","groeninghen","Groningen","1593","1641","53.2166667","6.55","GR","3",,"http://vocab.getty.edu/tgn/7006984"
"954","groennek","Groningen","1544","1544","53.2166667","6.55","GR","1",,"http://vocab.getty.edu/tgn/7006984"
"955","groenyngen","Groningen","1495","1495","53.2166667","6.55","GR","1",,"http://vocab.getty.edu/tgn/7006984"
"956","groesbeek","Groesbeek","1594","1594","51.7833333","5.9333333","GE","1",,"http://vocab.getty.edu/tgn/7006873"
"957","groesse","Groessen","1650","1650","51.9333333","6.0333333","GE","1",,"http://vocab.getty.edu/tgn/7260767"
"958","Grol","Groenlo","1548","1650","52.05","6.6166667","GE","6",,"http://vocab.getty.edu/tgn/1047803"
"959","groll","Groenlo","1542","1554","52.05","6.6166667","GE","5",,"http://vocab.getty.edu/tgn/1047803"
"960","grolle","Groenlo","1496","1651","52.05","6.6166667","GE","10",,"http://vocab.getty.edu/tgn/1047803"
"961","grollo","Groenlo","1593","1593","52.05","6.6166667","GE","1",,"http://vocab.getty.edu/tgn/1047803"
"962","Groningen","Groningen","1496","1655","53.2166667","6.55","GR","43",,"http://vocab.getty.edu/tgn/7006984"
"963","groningen in groningerland","Groningen","1646","1646","53.2166667","6.55","GR","1",,"http://vocab.getty.edu/tgn/7006984"
"964","groningerland","Provincie Groningen","1594","1594","53.25","6.75","GR","1",,
"965","Groningerlandt","Provincie Groningen","1586","1595","53.25","6.75","GR","14",,
"966","Groningerlant","Provincie Groningen","1550","1593","53.25","6.75","GR","9",,
"967","gronyngen","Groningen","1544","1548","53.2166667","6.55","GR","2",,"http://vocab.getty.edu/tgn/7006984"
"968","groot-zundert","Groot Zundert","1592","1592","51.4666667","4.6666667","NB","1",,
"969","grosthuisen","Grosthuizen","1543","1543","52.6166667","4.9666667","NH","1",,"http://vocab.getty.edu/tgn/7261490"
"970","Grote Breugel","Son en Breugel","1642","1642","51.5166667","5.5","NB","1",,"http://vocab.getty.edu/tgn/7271031"
"971","grote broek","Grootebroek","1587","1587","52.7","5.2166667","NH","1",,"http://vocab.getty.edu/tgn/7261054"
"972","grou","Grouw","1654","1654","53.1","5.8333333","FR","1",,"http://vocab.getty.edu/tgn/1047807"
"973","grouw","Grouw","1588","1649","53.1","5.8333333","FR","8",,"http://vocab.getty.edu/tgn/1047807"
"974","grow","Grouw","1650","1650","53.1","5.8333333","FR","1",,"http://vocab.getty.edu/tgn/1047807"
"975","gruysbeke","Groesbeek","1390","1390","51.7833333","5.9333333","GE","1",,"http://vocab.getty.edu/tgn/7006873"
"976","grypskercke","Grijpskerk","1649","1649","53.2666667","6.3","GR","1",,"http://vocab.getty.edu/tgn/1047801"
"977","Gythoren","Giethoorn","1645","1645","52.7333333","6.0833333","OV","1",,"http://vocab.getty.edu/tgn/1047789"
"978","h..cop","Heikop","1588","1588","51.95","5.1","ZH","1",,"http://vocab.getty.edu/tgn/7266191"
"979","haarlem","Haarlem","1445","1652","52.3666667","4.65","NH","79",,"http://vocab.getty.edu/tgn/7007048"
"980","haastrecht","Haastrecht","1590","1655","52","4.7833333","ZH","3",,"http://vocab.getty.edu/tgn/7031558"
"981","Hacxbergen","Haaksbergen                                                           popl","1645","1645","52.15","6.7333333","OV","1",,"http://vocab.getty.edu/tgn/1047809"
"982","haechoort","Gemeente Nootdorp","1588","1588","52.0333333","4.3833333","ZH","1",,
"983","haefften","Haaften","1536","1536","51.8166667","5.2166667","GE","1",,"http://vocab.getty.edu/tgn/7261657"
"984","haeften, van","Haaften","1582","1582","51.8166667","5.2166667","GE","1",,"http://vocab.getty.edu/tgn/7261657"
"985","haelderen","Haalderen","1505","1505","51.8833333","5.9333333","GE","1",,"http://vocab.getty.edu/tgn/7261644"
"986","haemstede","Haamstede","1597","1597","51.7","3.75","ZE","1",,"http://vocab.getty.edu/tgn/1047810"
"987","haenwijck","Nederland","1551","1551","52.5","5.75","NL","1",,
"988","haeps","Haps","1551","1551","51.6833333","5.8666667","NB","1",,"http://vocab.getty.edu/tgn/7262387"
"989","Haerlem","Haarlem","1536","1653","52.3666667","4.65","NH","86",,"http://vocab.getty.edu/tgn/7007048"
"990","Haerlingen","Harlingen","1546","1555","53.1833333","5.4166667","FR","2",,"http://vocab.getty.edu/tgn/7007015"
"991","haestert","Haastrecht","1540","1540","52","4.7833333","ZH","1",,"http://vocab.getty.edu/tgn/7031558"
"992","haestrecht","Haastrecht","1592","1642","52","4.7833333","ZH","4",,"http://vocab.getty.edu/tgn/7031558"
"993","haexbergen","Haaksbergen","1593","1593","52.15","6.7333333","OV","1",,"http://vocab.getty.edu/tgn/1047809"
"994","haexbergen","Haaksbergen                                                           popl","1495","1600","52.15","6.7333333","OV","13",,"http://vocab.getty.edu/tgn/1047809"
