"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"2524","K188a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K188a","Huijbergen","K 188a","http://sws.geonames.org/2753521","http://vocab.getty.edu/tgn/7003624","51.4382851183","4.38056224214"
"2525","K188p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K188p","Nispen","K 188","http://sws.geonames.org/2750035","http://vocab.getty.edu/tgn/7003624","51.4701461999","4.46470495704"
"2526","K188z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K188z","Pindorp, Wouwse Plantage","K 188z","http://sws.geonames.org/2744140","http://vocab.getty.edu/tgn/7003624","51.4824163599","4.40305342781"
"2527","K189a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K189a","Wildert","K 189a",,"http://vocab.getty.edu/tgn/1000063","51.4273073083","4.4870116964"
"2528","K189b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K189b","Nieuwmoer","K 189b",,"http://vocab.getty.edu/tgn/1000063","51.4394358807","4.52418285787"
"2529","K189c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K189c","Kalmthoutse Hoek","K 189c",,"http://vocab.getty.edu/tgn/1000063","51.4489456015","4.42522662723"
"2530","K189p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K189p","Essen","K 189",,"http://vocab.getty.edu/tgn/1000063","51.4656324955","4.48526116272"
"2531","K190a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K190a","Wernhout","K 190a","http://sws.geonames.org/2744824","http://vocab.getty.edu/tgn/7003624","51.4590211671","4.6540346403"
"2532","K190b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K190b","Achtmaal","K 190b","http://sws.geonames.org/2759981","http://vocab.getty.edu/tgn/7003624","51.4580141581","4.59617871599"
"2533","K190c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K190c","Klein-Zundert","K 190c","http://sws.geonames.org/2752660","http://vocab.getty.edu/tgn/7003624","51.4952024237","4.65844873283"
"2534","K190p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K190p","Zundert","K 190","http://sws.geonames.org/2743619","http://vocab.getty.edu/tgn/7003624","51.4731906304","4.67777188428"
